,Код товара,Месяц,Направление продаж,"Продажи, шт"
977,491,9,Оптовая торговля,48
978,30,7,Розничная торговля,44
979,30,7,Оптовая торговля,46
980,30,8,Розничная торговля,46
981,30,8,Оптовая торговля,47
982,30,9,Розничная торговля,52
983,30,9,Оптовая торговля,53
984,431,7,Розничная торговля,43
985,431,7,Оптовая торговля,43
986,431,8,Розничная торговля,38
987,431,8,Оптовая торговля,39
988,431,9,Розничная торговля,48
989,431,9,Оптовая торговля,48
990,385,7,Розничная торговля,44
991,385,7,Оптовая торговля,43
992,385,8,Розничная торговля,44
993,385,8,Оптовая торговля,43
994,385,9,Розничная торговля,46
995,385,9,Оптовая торговля,47
996,127,7,Розничная торговля,42
997,127,7,Оптовая торговля,41
998,127,8,Розничная торговля,45
999,127,8,Оптовая торговля,43
1000,127,9,Розничная торговля,48
1001,127,9,Оптовая торговля,46
1002,377,7,Розничная торговля,45
1003,377,7,Оптовая торговля,46
1004,377,8,Розничная торговля,46
1005,377,8,Оптовая торговля,46
1006,377,9,Розничная торговля,45
1007,377,9,Оптовая торговля,47
1008,504,7,Розничная торговля,45
1009,504,7,Оптовая торговля,45
1010,504,8,Розничная торговля,43
1011,504,8,Оптовая торговля,43
1012,504,9,Розничная торговля,42
1013,504,9,Оптовая торговля,42
1014,119,7,Розничная торговля,42
1015,119,7,Оптовая торговля,42
1016,119,8,Розничная торговля,45
1017,119,8,Оптовая торговля,45
1018,119,9,Розничная торговля,47
1019,119,9,Оптовая торговля,46
1020,69,7,Розничная торговля,33
1021,69,7,Оптовая торговля,41
1022,69,8,Розничная торговля,36
1023,69,8,Оптовая торговля,43
1024,69,9,Розничная торговля,62
1025,69,9,Оптовая торговля,69
1026,414,7,Розничная торговля,58
1027,414,7,Оптовая торговля,58
1028,414,8,Розничная торговля,63
1029,414,8,Оптовая торговля,63
1030,414,9,Розничная торговля,74
1031,414,9,Оптовая торговля,82
1032,174,7,Розничная торговля,47
1033,174,7,Оптовая торговля,47
1034,174,8,Розничная торговля,45
1035,174,8,Оптовая торговля,43
1036,174,9,Розничная торговля,48
1037,174,9,Оптовая торговля,47
1038,79,7,Розничная торговля,46
1039,79,7,Оптовая торговля,47
1040,79,8,Розничная торговля,43
1041,79,8,Оптовая торговля,45
1042,79,9,Розничная торговля,42
1043,79,9,Оптовая торговля,44
1044,78,7,Розничная торговля,40
1045,78,7,Оптовая торговля,39
1046,78,8,Розничная торговля,53
1047,78,8,Оптовая торговля,50
1048,78,9,Розничная торговля,44
1049,78,9,Оптовая торговля,43
1050,356,7,Розничная торговля,33
1051,356,7,Оптовая торговля,33
1052,356,8,Розничная торговля,39
1053,356,8,Оптовая торговля,39
1054,356,9,Розничная торговля,30
1055,356,9,Оптовая торговля,27
1056,373,7,Розничная торговля,44
1057,373,7,Оптовая торговля,42
1058,373,8,Розничная торговля,49
1059,373,8,Оптовая торговля,48
1060,373,9,Розничная торговля,48
1061,373,9,Оптовая торговля,46
1062,292,7,Розничная торговля,43
1063,292,7,Оптовая торговля,44
1064,292,8,Розничная торговля,45
1065,292,8,Оптовая торговля,45
1066,292,9,Розничная торговля,44
1067,292,9,Оптовая торговля,44
1068,488,7,Розничная торговля,48
1069,488,7,Оптовая торговля,50
1070,488,8,Розничная торговля,48
1071,488,8,Оптовая торговля,50
1072,488,9,Розничная торговля,37
1073,488,9,Оптовая торговля,39
1074,96,7,Розничная торговля,41
1075,96,7,Оптовая торговля,38
1076,96,8,Розничная торговля,45
1077,96,8,Оптовая торговля,42
1078,96,9,Розничная торговля,53
1079,96,9,Оптовая торговля,50
1080,503,7,Розничная торговля,51
1081,503,7,Оптовая торговля,50
1082,503,8,Розничная торговля,44
1083,503,8,Оптовая торговля,42
1084,503,9,Розничная торговля,44
1085,503,9,Оптовая торговля,42
1086,80,7,Розничная торговля,40
1087,80,7,Оптовая торговля,39
1088,80,8,Розничная торговля,50
1089,80,8,Оптовая торговля,49
1090,80,9,Розничная торговля,49
1091,80,9,Оптовая торговля,48
1092,499,7,Розничная торговля,45
1093,499,7,Оптовая торговля,45
1094,499,8,Розничная торговля,47
1095,499,8,Оптовая торговля,47
1096,499,9,Розничная торговля,47
1097,499,9,Оптовая торговля,46
1098,603,7,Розничная торговля,44
1099,603,7,Оптовая торговля,45
1100,603,8,Розничная торговля,42
1101,603,8,Оптовая торговля,43
1102,603,9,Розничная торговля,42
1103,603,9,Оптовая торговля,44
1104,363,7,Розничная торговля,42
1105,363,7,Оптовая торговля,42
1106,363,8,Розничная торговля,47
1107,363,8,Оптовая торговля,46
1108,363,9,Розничная торговля,43
1109,363,9,Оптовая торговля,43
1110,540,7,Розничная торговля,42
1111,540,7,Оптовая торговля,43
1112,540,8,Розничная торговля,46
1113,540,8,Оптовая торговля,47
1114,540,9,Розничная торговля,44
1115,540,9,Оптовая торговля,45
1116,634,7,Розничная торговля,41
1117,634,7,Оптовая торговля,42
1118,634,8,Розничная торговля,47
1119,634,8,Оптовая торговля,46
1120,634,9,Розничная торговля,44
1121,634,9,Оптовая торговля,46
1122,653,7,Розничная торговля,45
1123,653,7,Оптовая торговля,41
1124,653,8,Розничная торговля,46
1125,653,8,Оптовая торговля,44
1126,653,9,Розничная торговля,48
1127,653,9,Оптовая торговля,44
1128,378,7,Розничная торговля,42
1129,378,7,Оптовая торговля,42
1130,378,8,Розничная торговля,48
1131,378,8,Оптовая торговля,48
1132,378,9,Розничная торговля,42
1133,378,9,Оптовая торговля,42
1134,92,7,Розничная торговля,44
1135,92,7,Оптовая торговля,44
1136,92,8,Розничная торговля,45
1137,92,8,Оптовая торговля,45
1138,92,9,Розничная торговля,45
1139,92,9,Оптовая торговля,46
1140,600,7,Розничная торговля,46
1141,600,7,Оптовая торговля,44
1142,600,8,Розничная торговля,46
1143,600,8,Оптовая торговля,44
1144,600,9,Розничная торговля,46
1145,600,9,Оптовая торговля,43
1146,169,7,Розничная торговля,43
1147,169,7,Оптовая торговля,42
1148,169,8,Розничная торговля,43
1149,169,8,Оптовая торговля,42
1150,169,9,Розничная торговля,44
1151,169,9,Оптовая торговля,44
1152,1,7,Розничная торговля,45
1153,1,7,Оптовая торговля,45
1154,1,8,Розничная торговля,48
1155,1,8,Оптовая торговля,47
1156,1,9,Розничная торговля,45
1157,1,9,Оптовая торговля,45
1158,109,7,Розничная торговля,47
1159,109,7,Оптовая торговля,47
1160,109,8,Розничная торговля,48
1161,109,8,Оптовая торговля,48
1162,109,9,Розничная торговля,45
1163,109,9,Оптовая торговля,46
1164,108,7,Розничная торговля,51
1165,108,7,Оптовая торговля,54
1166,108,8,Розничная торговля,37
1167,108,8,Оптовая торговля,40
1168,108,9,Розничная торговля,46
1169,108,9,Оптовая торговля,46
1170,395,7,Розничная торговля,40
1171,395,7,Оптовая торговля,41
1172,395,8,Розничная торговля,45
1173,395,8,Оптовая торговля,46
1174,395,9,Розничная торговля,43
1175,395,9,Оптовая торговля,44
1176,467,7,Розничная торговля,47
1177,467,7,Оптовая торговля,45
1178,467,8,Розничная торговля,46
1179,467,8,Оптовая торговля,44
1180,467,9,Розничная торговля,42
1181,467,9,Оптовая торговля,41
1182,220,7,Розничная торговля,41
1183,220,7,Оптовая торговля,43
1184,220,8,Розничная торговля,45
1185,220,8,Оптовая торговля,46
1186,220,9,Розничная торговля,41
1187,220,9,Оптовая торговля,43
1188,575,7,Розничная торговля,49
1189,575,7,Оптовая торговля,50
1190,575,8,Розничная торговля,45
1191,575,8,Оптовая торговля,45
1192,575,9,Розничная торговля,42
1193,575,9,Оптовая торговля,42
1194,103,7,Розничная торговля,42
1195,103,7,Оптовая торговля,43
1196,103,8,Розничная торговля,46
1197,103,8,Оптовая торговля,46
1198,103,9,Розничная торговля,45
1199,103,9,Оптовая торговля,45
1200,170,7,Розничная торговля,46
1201,170,7,Оптовая торговля,46
1202,170,8,Розничная торговля,46
1203,170,8,Оптовая торговля,45
1204,170,9,Розничная торговля,45
1205,170,9,Оптовая торговля,44
1206,436,7,Розничная торговля,44
1207,436,7,Оптовая торговля,40
1208,436,8,Розничная торговля,44
1209,436,8,Оптовая торговля,40
1210,436,9,Розничная торговля,48
1211,436,9,Оптовая торговля,40
1212,512,7,Розничная торговля,47
1213,512,7,Оптовая торговля,54
1214,512,8,Розничная торговля,46
1215,512,8,Оптовая торговля,54
1216,512,9,Розничная торговля,65
1217,512,9,Оптовая торговля,74
1218,121,7,Розничная торговля,41
1219,121,7,Оптовая торговля,43
1220,121,8,Розничная торговля,45
1221,121,8,Оптовая торговля,47
1222,121,9,Розничная торговля,47
1223,121,9,Оптовая торговля,48
1224,188,7,Розничная торговля,45
1225,188,7,Оптовая торговля,44
1226,188,8,Розничная торговля,45
1227,188,8,Оптовая торговля,45
1228,188,9,Розничная торговля,46
1229,188,9,Оптовая торговля,46
1230,120,7,Розничная торговля,48
1231,120,7,Оптовая торговля,48
1232,120,8,Розничная торговля,43
1233,120,8,Оптовая торговля,43
1234,120,9,Розничная торговля,45
1235,120,9,Оптовая торговля,45
1236,143,7,Розничная торговля,46
1237,143,7,Оптовая торговля,46
1238,143,8,Розничная торговля,43
1239,143,8,Оптовая торговля,44
1240,143,9,Розничная торговля,44
1241,143,9,Оптовая торговля,44
1242,291,7,Розничная торговля,47
1243,291,7,Оптовая торговля,46
1244,291,8,Розничная торговля,45
1245,291,8,Оптовая торговля,45
1246,291,9,Розничная торговля,43
1247,291,9,Оптовая торговля,43
1248,350,7,Розничная торговля,42
1249,350,7,Оптовая торговля,42
1250,350,8,Розничная торговля,43
1251,350,8,Оптовая торговля,43
1252,350,9,Розничная торговля,45
1253,350,9,Оптовая торговля,44
1254,270,7,Розничная торговля,46
1255,270,7,Оптовая торговля,45
1256,270,8,Розничная торговля,44
1257,270,8,Оптовая торговля,44
1258,270,9,Розничная торговля,46
1259,270,9,Оптовая торговля,45
1260,151,7,Розничная торговля,44
1261,151,7,Оптовая торговля,44
1262,151,8,Розничная торговля,44
1263,151,8,Оптовая торговля,45
1264,151,9,Розничная торговля,44
1265,151,9,Оптовая торговля,45
1266,38,7,Розничная торговля,45
1267,38,7,Оптовая торговля,46
1268,38,8,Розничная торговля,45
1269,38,8,Оптовая торговля,47
1270,38,9,Розничная торговля,43
1271,38,9,Оптовая торговля,43
1272,115,7,Розничная торговля,50
1273,115,7,Оптовая торговля,50
1274,115,8,Розничная торговля,43
1275,115,8,Оптовая торговля,44
1276,115,9,Розничная торговля,43
1277,115,9,Оптовая торговля,42
1278,322,7,Розничная торговля,45
1279,322,7,Оптовая торговля,46
1280,322,8,Розничная торговля,42
1281,322,8,Оптовая торговля,44
1282,322,9,Розничная торговля,46
1283,322,9,Оптовая торговля,47
1284,445,7,Розничная торговля,44
1285,445,7,Оптовая торговля,44
1286,445,8,Розничная торговля,43
1287,445,8,Оптовая торговля,43
1288,445,9,Розничная торговля,44
1289,445,9,Оптовая торговля,44
1290,283,7,Розничная торговля,47
1291,283,7,Оптовая торговля,46
1292,283,8,Розничная торговля,45
1293,283,8,Оптовая торговля,44
1294,283,9,Розничная торговля,44
1295,283,9,Оптовая торговля,43
1296,159,7,Розничная торговля,50
1297,159,7,Оптовая торговля,49
1298,159,8,Розничная торговля,43
1299,159,8,Оптовая торговля,43
1300,159,9,Розничная торговля,44
1301,159,9,Оптовая торговля,42
1302,301,7,Розничная торговля,42
1303,301,7,Оптовая торговля,41
1304,301,8,Розничная торговля,44
1305,301,8,Оптовая торговля,43
1306,301,9,Розничная торговля,46
1307,301,9,Оптовая торговля,45
1308,152,7,Розничная торговля,42
1309,152,7,Оптовая торговля,45
1310,152,8,Розничная торговля,42
1311,152,8,Оптовая торговля,45
1312,152,9,Розничная торговля,42
1313,152,9,Оптовая торговля,45
1314,544,7,Розничная торговля,48
1315,544,7,Оптовая торговля,47
1316,544,8,Розничная торговля,48
1317,544,8,Оптовая торговля,46
1318,544,9,Розничная торговля,48
1319,544,9,Оптовая торговля,46
1320,506,7,Розничная торговля,43
1321,506,7,Оптовая торговля,43
1322,506,8,Розничная торговля,45
1323,506,8,Оптовая торговля,44
1324,506,9,Розничная торговля,47
1325,506,9,Оптовая торговля,44
1326,249,7,Розничная торговля,44
1327,249,7,Оптовая торговля,44
1328,249,8,Розничная торговля,48
1329,249,8,Оптовая торговля,48
1330,249,9,Розничная торговля,43
1331,249,9,Оптовая торговля,43
1332,184,7,Розничная торговля,45
1333,184,7,Оптовая торговля,45
1334,184,8,Розничная торговля,48
1335,184,8,Оптовая торговля,48
1336,184,9,Розничная торговля,44
1337,184,9,Оптовая торговля,44
1338,336,7,Розничная торговля,44
1339,336,7,Оптовая торговля,43
1340,336,8,Розничная торговля,46
1341,336,8,Оптовая торговля,47
1342,336,9,Розничная торговля,45
1343,336,9,Оптовая торговля,45
1344,24,7,Розничная торговля,44
1345,24,7,Оптовая торговля,52
1346,24,8,Розничная торговля,44
1347,24,8,Оптовая торговля,52
1348,24,9,Розничная торговля,45
1349,24,9,Оптовая торговля,53
1350,3,7,Розничная торговля,43
1351,3,7,Оптовая торговля,31
1352,3,8,Розничная торговля,43
1353,3,8,Оптовая торговля,31
1354,3,9,Розничная торговля,43
1355,3,9,Оптовая торговля,31
1356,252,7,Розничная торговля,42
1357,252,7,Оптовая торговля,43
1358,252,8,Розничная торговля,43
1359,252,8,Оптовая торговля,45
1360,252,9,Розничная торговля,43
1361,252,9,Оптовая торговля,44
1362,272,7,Розничная торговля,46
1363,272,7,Оптовая торговля,45
1364,272,8,Розничная торговля,42
1365,272,8,Оптовая торговля,41
1366,272,9,Розничная торговля,46
1367,272,9,Оптовая торговля,45
1368,556,7,Розничная торговля,46
1369,556,7,Оптовая торговля,43
1370,556,8,Розничная торговля,46
1371,556,8,Оптовая торговля,48
1372,556,9,Розничная торговля,46
1373,556,9,Оптовая торговля,47
1374,430,7,Розничная торговля,44
1375,430,7,Оптовая торговля,45
1376,430,8,Розничная торговля,45
1377,430,8,Оптовая торговля,46
1378,430,9,Розничная торговля,44
1379,430,9,Оптовая торговля,45
1380,148,7,Розничная торговля,47
1381,148,7,Оптовая торговля,46
1382,148,8,Розничная торговля,49
1383,148,8,Оптовая торговля,48
1384,148,9,Розничная торговля,46
1385,148,9,Оптовая торговля,45
1386,42,7,Розничная торговля,38
1387,42,7,Оптовая торговля,42
1388,42,8,Розничная торговля,37
1389,42,8,Оптовая торговля,42
1390,42,9,Розничная торговля,38
1391,42,9,Оптовая торговля,42
1392,529,7,Розничная торговля,53
1393,529,7,Оптовая торговля,49
1394,529,8,Розничная торговля,52
1395,529,8,Оптовая торговля,51
1396,529,9,Розничная торговля,51
1397,529,9,Оптовая торговля,48
1398,513,7,Розничная торговля,46
1399,513,7,Оптовая торговля,44
1400,513,8,Розничная торговля,46
1401,513,8,Оптовая торговля,44
1402,513,9,Розничная торговля,46
1403,513,9,Оптовая торговля,44
1404,386,7,Розничная торговля,38
1405,386,7,Оптовая торговля,42
1406,386,8,Розничная торговля,38
1407,386,8,Оптовая торговля,40
1408,386,9,Розничная торговля,41
1409,386,9,Оптовая торговля,40
1410,328,7,Розничная торговля,49
1411,328,7,Оптовая торговля,49
1412,328,8,Розничная торговля,47
1413,328,8,Оптовая торговля,46
1414,328,9,Розничная торговля,44
1415,328,9,Оптовая торговля,45
1416,41,7,Розничная торговля,45
1417,41,7,Оптовая торговля,45
1418,41,8,Розничная торговля,42
1419,41,8,Оптовая торговля,42
1420,41,9,Розничная торговля,47
1421,41,9,Оптовая торговля,48
1422,444,7,Розничная торговля,43
1423,444,7,Оптовая торговля,43
1424,444,8,Розничная торговля,44
1425,444,8,Оптовая торговля,44
1426,444,9,Розничная торговля,42
1427,444,9,Оптовая торговля,42
1428,410,7,Розничная торговля,44
1429,410,7,Оптовая торговля,44
1430,410,8,Розничная торговля,39
1431,410,8,Оптовая торговля,38
1432,410,9,Розничная торговля,48
1433,410,9,Оптовая торговля,47
1434,344,7,Розничная торговля,46
1435,344,7,Оптовая торговля,46
1436,344,8,Розничная торговля,45
1437,344,8,Оптовая торговля,44
1438,344,9,Розничная торговля,45
1439,344,9,Оптовая торговля,45
1440,287,7,Розничная торговля,43
1441,287,7,Оптовая торговля,45
1442,287,8,Розничная торговля,42
1443,287,8,Оптовая торговля,44
1444,287,9,Розничная торговля,43
1445,287,9,Оптовая торговля,46
1446,364,7,Розничная торговля,43
1447,364,7,Оптовая торговля,43
1448,364,8,Розничная торговля,46
1449,364,8,Оптовая торговля,47
1450,364,9,Розничная торговля,44
1451,364,9,Оптовая торговля,45
1452,534,7,Розничная торговля,42
1453,534,7,Оптовая торговля,44
1454,534,8,Розничная торговля,42
1455,534,8,Оптовая торговля,43
1456,534,9,Розничная торговля,42
1457,534,9,Оптовая торговля,44
1458,462,7,Розничная торговля,44
1459,462,7,Оптовая торговля,43
1460,462,8,Розничная торговля,44
1461,462,8,Оптовая торговля,43
1462,462,9,Розничная торговля,44
1463,462,9,Оптовая торговля,43
1464,542,7,Розничная торговля,46
1465,542,7,Оптовая торговля,46
1466,542,8,Розничная торговля,42
1467,542,8,Оптовая торговля,43
1468,542,9,Розничная торговля,43
1469,542,9,Оптовая торговля,44
1470,636,7,Розничная торговля,45
1471,636,7,Оптовая торговля,45
1472,636,8,Розничная торговля,46
1473,636,8,Оптовая торговля,47
1474,636,9,Розничная торговля,43
1475,636,9,Оптовая торговля,46
1476,280,7,Розничная торговля,43
1477,280,7,Оптовая торговля,46
1478,280,8,Розничная торговля,45
1479,280,8,Оптовая торговля,48
1480,280,9,Розничная торговля,47
1481,280,9,Оптовая торговля,49
1482,40,7,Розничная торговля,44
1483,40,7,Оптовая торговля,44
1484,40,8,Розничная торговля,46
1485,40,8,Оптовая торговля,46
1486,40,9,Розничная торговля,43
1487,40,9,Оптовая торговля,44
1488,521,7,Розничная торговля,46
1489,521,7,Оптовая торговля,46
1490,521,8,Розничная торговля,44
1491,521,8,Оптовая торговля,44
1492,521,9,Розничная торговля,46
1493,521,9,Оптовая торговля,46
1494,267,7,Розничная торговля,42
1495,267,7,Оптовая торговля,40
1496,267,8,Розничная торговля,46
1497,267,8,Оптовая торговля,42
1498,267,9,Розничная торговля,47
1499,267,9,Оптовая торговля,44
1500,439,7,Розничная торговля,44
1501,439,7,Оптовая торговля,45
1502,439,8,Розничная торговля,45
1503,439,8,Оптовая торговля,46
1504,439,9,Розничная торговля,47
1505,439,9,Оптовая торговля,48
1506,550,7,Розничная торговля,43
1507,550,7,Оптовая торговля,44
1508,550,8,Розничная торговля,45
1509,550,8,Оптовая торговля,47
1510,550,9,Розничная торговля,44
1511,550,9,Оптовая торговля,44
1512,106,7,Розничная торговля,45
1513,106,7,Оптовая торговля,44
1514,106,8,Розничная торговля,46
1515,106,8,Оптовая торговля,46
1516,106,9,Розничная торговля,49
1517,106,9,Оптовая торговля,49
1518,129,7,Розничная торговля,48
1519,129,7,Оптовая торговля,49
1520,129,8,Розничная торговля,47
1521,129,8,Оптовая торговля,47
1522,129,9,Розничная торговля,46
1523,129,9,Оптовая торговля,46
1524,183,7,Розничная торговля,47
1525,183,7,Оптовая торговля,47
1526,183,8,Розничная торговля,45
1527,183,8,Оптовая торговля,44
1528,183,9,Розничная торговля,43
1529,183,9,Оптовая торговля,43
1530,163,7,Розничная торговля,41
1531,163,7,Оптовая торговля,42
1532,163,8,Розничная торговля,40
1533,163,8,Оптовая торговля,41
1534,163,9,Розничная торговля,46
1535,163,9,Оптовая торговля,47
1536,248,7,Розничная торговля,43
1537,248,7,Оптовая торговля,43
1538,248,8,Розничная торговля,44
1539,248,8,Оптовая торговля,44
1540,248,9,Розничная торговля,43
1541,248,9,Оптовая торговля,43
1542,211,7,Розничная торговля,56
1543,211,7,Оптовая торговля,57
1544,211,8,Розничная торговля,48
1545,211,8,Оптовая торговля,48
1546,211,9,Розничная торговля,49
1547,211,9,Оптовая торговля,48
1548,14,7,Розничная торговля,44
1549,14,7,Оптовая торговля,44
1550,14,8,Розничная торговля,44
1551,14,8,Оптовая торговля,44
1552,14,9,Розничная торговля,43
1553,14,9,Оптовая торговля,44
1554,158,7,Розничная торговля,43
1555,158,7,Оптовая торговля,43
1556,158,8,Розничная торговля,40
1557,158,8,Оптовая торговля,41
1558,158,9,Розничная торговля,42
1559,158,9,Оптовая торговля,42
1560,474,7,Розничная торговля,35
1561,474,7,Оптовая торговля,35
1562,474,8,Розничная торговля,47
1563,474,8,Оптовая торговля,48
1564,474,9,Розничная торговля,42
1565,474,9,Оптовая торговля,43
1566,509,7,Розничная торговля,45
1567,509,7,Оптовая торговля,44
1568,509,8,Розничная торговля,41
1569,509,8,Оптовая торговля,41
1570,509,9,Розничная торговля,45
1571,509,9,Оптовая торговля,45
1572,60,7,Розничная торговля,44
1573,60,7,Оптовая торговля,43
1574,60,8,Розничная торговля,46
1575,60,8,Оптовая торговля,45
1576,60,9,Розничная торговля,46
1577,60,9,Оптовая торговля,46
1578,484,7,Розничная торговля,36
1579,484,7,Оптовая торговля,43
1580,484,8,Розничная торговля,38
1581,484,8,Оптовая торговля,41
1582,484,9,Розничная торговля,52
1583,484,9,Оптовая торговля,54
1584,161,7,Розничная торговля,40
1585,161,7,Оптовая торговля,41
1586,161,8,Розничная торговля,45
1587,161,8,Оптовая торговля,47
1588,161,9,Розничная торговля,45
1589,161,9,Оптовая торговля,46
1590,138,7,Розничная торговля,48
1591,138,7,Оптовая торговля,49
1592,138,8,Розничная торговля,44
1593,138,8,Оптовая торговля,46
1594,138,9,Розничная торговля,44
1595,138,9,Оптовая торговля,45
1596,572,7,Розничная торговля,43
1597,572,7,Оптовая торговля,44
1598,572,8,Розничная торговля,42
1599,572,8,Оптовая торговля,43
1600,572,9,Розничная торговля,46
1601,572,9,Оптовая торговля,46
1602,76,7,Розничная торговля,43
1603,76,7,Оптовая торговля,42
1604,76,8,Розничная торговля,44
1605,76,8,Оптовая торговля,42
1606,76,9,Розничная торговля,43
1607,76,9,Оптовая торговля,42
1608,240,7,Розничная торговля,44
1609,240,7,Оптовая торговля,44
1610,240,8,Розничная торговля,42
1611,240,8,Оптовая торговля,43
1612,240,9,Розничная торговля,42
1613,240,9,Оптовая торговля,44
1614,408,7,Розничная торговля,44
1615,408,7,Оптовая торговля,45
1616,408,8,Розничная торговля,45
1617,408,8,Оптовая торговля,45
1618,408,9,Розничная торговля,46
1619,408,9,Оптовая торговля,45
1620,541,7,Розничная торговля,45
1621,541,7,Оптовая торговля,45
1622,541,8,Розничная торговля,44
1623,541,8,Оптовая торговля,45
1624,541,9,Розничная торговля,40
1625,541,9,Оптовая торговля,41
1626,501,7,Розничная торговля,44
1627,501,7,Оптовая торговля,44
1628,501,8,Розничная торговля,48
1629,501,8,Оптовая торговля,48
1630,501,9,Розничная торговля,45
1631,501,9,Оптовая торговля,45
1632,157,7,Розничная торговля,44
1633,157,7,Оптовая торговля,43
1634,157,8,Розничная торговля,41
1635,157,8,Оптовая торговля,40
1636,157,9,Розничная торговля,45
1637,157,9,Оптовая торговля,43
1638,276,7,Розничная торговля,43
1639,276,7,Оптовая торговля,44
1640,276,8,Розничная торговля,45
1641,276,8,Оптовая торговля,46
1642,276,9,Розничная торговля,42
1643,276,9,Оптовая торговля,43
1644,67,7,Розничная торговля,44
1645,67,7,Оптовая торговля,45
1646,67,8,Розничная торговля,44
1647,67,8,Оптовая торговля,45
1648,67,9,Розничная торговля,44
1649,67,9,Оптовая торговля,44
1650,397,7,Розничная торговля,45
1651,397,7,Оптовая торговля,45
1652,397,8,Розничная торговля,47
1653,397,8,Оптовая торговля,47
1654,397,9,Розничная торговля,44
1655,397,9,Оптовая торговля,44
1656,562,7,Розничная торговля,44
1657,562,7,Оптовая торговля,44
1658,562,8,Розничная торговля,43
1659,562,8,Оптовая торговля,44
1660,562,9,Розничная торговля,45
1661,562,9,Оптовая торговля,45
1662,478,7,Розничная торговля,46
1663,478,7,Оптовая торговля,46
1664,478,8,Розничная торговля,46
1665,478,8,Оптовая торговля,45
1666,478,9,Розничная торговля,44
1667,478,9,Оптовая торговля,44
1668,162,7,Розничная торговля,45
1669,162,7,Оптовая торговля,46
1670,162,8,Розничная торговля,46
1671,162,8,Оптовая торговля,45
1672,162,9,Розничная торговля,45
1673,162,9,Оптовая торговля,45
1674,416,7,Розничная торговля,43
1675,416,7,Оптовая торговля,42
1676,416,8,Розничная торговля,46
1677,416,8,Оптовая торговля,46
1678,416,9,Розничная торговля,44
1679,416,9,Оптовая торговля,43
1680,21,7,Розничная торговля,48
1681,21,7,Оптовая торговля,51
1682,21,8,Розничная торговля,48
1683,21,8,Оптовая торговля,50
1684,21,9,Розничная торговля,44
1685,21,9,Оптовая торговля,46
1686,518,7,Розничная торговля,43
1687,518,7,Оптовая торговля,42
1688,518,8,Розничная торговля,48
1689,518,8,Оптовая торговля,48
1690,518,9,Розничная торговля,52
1691,518,9,Оптовая торговля,52
1692,296,7,Розничная торговля,51
1693,296,7,Оптовая торговля,51
1694,296,8,Розничная торговля,39
1695,296,8,Оптовая торговля,39
1696,296,9,Розничная торговля,43
1697,296,9,Оптовая торговля,45
1698,335,7,Розничная торговля,43
1699,335,7,Оптовая торговля,42
1700,335,8,Розничная торговля,41
1701,335,8,Оптовая торговля,42
1702,335,9,Розничная торговля,41
1703,335,9,Оптовая торговля,44
1704,18,7,Розничная торговля,42
1705,18,7,Оптовая торговля,42
1706,18,8,Розничная торговля,44
1707,18,8,Оптовая торговля,44
1708,18,9,Розничная торговля,42
1709,18,9,Оптовая торговля,42
1710,531,7,Розничная торговля,45
1711,531,7,Оптовая торговля,45
1712,531,8,Розничная торговля,44
1713,531,8,Оптовая торговля,44
1714,531,9,Розничная торговля,45
1715,531,9,Оптовая торговля,45
1716,571,7,Розничная торговля,43
1717,571,7,Оптовая торговля,43
1718,571,8,Розничная торговля,44
1719,571,8,Оптовая торговля,44
1720,571,9,Розничная торговля,50
1721,571,9,Оптовая торговля,50
1722,134,7,Розничная торговля,47
1723,134,7,Оптовая торговля,46
1724,134,8,Розничная торговля,45
1725,134,8,Оптовая торговля,45
1726,134,9,Розничная торговля,45
1727,134,9,Оптовая торговля,45
1728,420,7,Розничная торговля,39
1729,420,7,Оптовая торговля,46
1730,420,8,Розничная торговля,37
1731,420,8,Оптовая торговля,40
1732,420,9,Розничная торговля,36
1733,420,9,Оптовая торговля,44
1734,424,7,Розничная торговля,42
1735,424,7,Оптовая торговля,43
1736,424,8,Розничная торговля,42
1737,424,8,Оптовая торговля,42
1738,424,9,Розничная торговля,42
1739,424,9,Оптовая торговля,42
1740,125,7,Розничная торговля,48
1741,125,7,Оптовая торговля,49
1742,125,8,Розничная торговля,46
1743,125,8,Оптовая торговля,47
1744,125,9,Розничная торговля,47
1745,125,9,Оптовая торговля,48
1746,315,7,Розничная торговля,42
1747,315,7,Оптовая торговля,39
1748,315,8,Розничная торговля,40
1749,315,8,Оптовая торговля,38
1750,315,9,Розничная торговля,47
1751,315,9,Оптовая торговля,45
1752,548,7,Розничная торговля,46
1753,548,7,Оптовая торговля,47
1754,548,8,Розничная торговля,44
1755,548,8,Оптовая торговля,47
1756,548,9,Розничная торговля,46
1757,548,9,Оптовая торговля,47
1758,425,7,Розничная торговля,46
1759,425,7,Оптовая торговля,45
1760,425,8,Розничная торговля,44
1761,425,8,Оптовая торговля,43
1762,425,9,Розничная торговля,44
1763,425,9,Оптовая торговля,43
1764,146,7,Розничная торговля,46
1765,146,7,Оптовая торговля,44
1766,146,8,Розничная торговля,47
1767,146,8,Оптовая торговля,44
1768,146,9,Розничная торговля,46
1769,146,9,Оптовая торговля,44
1770,6,7,Розничная торговля,49
1771,6,7,Оптовая торговля,50
1772,6,8,Розничная торговля,43
1773,6,8,Оптовая торговля,42
1774,6,9,Розничная торговля,46
1775,6,9,Оптовая торговля,46
